Order ID,Customer Name,Mobile Model,Quantity,Price per Unit,Total Price,Promotion Code,Order Amount,GST,Order Date,Payment Status,Shipping Status,Payment Method,Payment Provider,Mobile,Delivery Address
1LERCIVCJA1685122966,Reyansh Garde,LG/Q Stylus+/Black/4 GB/64 GB,1,24000,24000,BIRTHDAYGIFT,22560.0,4060.8,2020-01-01,Pending,Returned,Net Banking,HDBC,9197756881,"H.No. 627
Sethi Street, Raebareli-277338"
Y66JQA3VMQ1685122966,Yuvaan Karnik,Apple/iPhone 12/Blue/4GB/256 GB,1,80900,80900,,80900,14562.0,2020-01-01,Paid,Transit,Credit Card,Visa,9198392747,"H.No. 57
Kalla, Latur 537963"
DBI2UB29PF1685122966,Sara Apte,SAMSUNG/Galaxy A20s/Green/3 GB/32 GB,1,12900,12900,NEWYEAR15,10965.0,1973.7,2020-01-01,Paid,Transit,UPI,BHIM UPI,9116130409,"H.No. 087, Atwal Path, Aurangabad-636283"
563EIN47S61685122966,Lakshay Sane,SAMSUNG/Galaxy M30/Gradation Black/6 GB/128 GB,1,19590,19590,NEWYEAR15,16651.5,2997.27,2020-01-01,Pending,Transit,Digital Wallets,Freecharge,9162303411,"499
Kapur Zila, Madanapalle-953311"
30YD406IE41685122966,Samiha Samra,SAMSUNG/Galaxy J6 Plus/Red/4 GB/64 GB,1,13600,13600,BIRTHDAYGIFT,12784.0,2301.12,2020-01-01,Paid,Returned,Credit Card,Diners Club,9234576588,"35/04, Jha Chowk
Muzaffarpur-453242"
IWDFD8O79X1685122966,Ranbir Jha,Apple/iPhone 13 Pro Max/Gold/6 GB/1 TB,2,179900,359800,,359800,64764.0,2020-01-01,Pending,Returned,UPI,Google Pay,9173863033,"H.No. 634
Bandi Marg, Satna-395667"
X6JU23PG7N1685122966,Taimur Hayer,Xiaomi/Redmi Note 7/Onyx Black/4 GB/64 GB,2,12690,25380,BIRTHDAYGIFT,23857.2,4294.3,2020-01-01,Pending,Returned,UPI,Google Pay,9120126277,"11
Bassi
Thiruvananthapuram 979177"
FDSQE3IT1U1685122966,Emir Ramachandran,Xiaomi/Redmi 8/Ruby Red/4 GB/64 GB,1,10999,10999,BIRTHDAYGIFT,10339.06,1861.03,2020-01-01,Pending,Delivered,UPI,Paytm,9196759840,"54
Bhardwaj Nagar, Srinagar 060192"
SRNSMQD13I1685122966,Ranbir Sodhi,Apple/iPhone 13 Pro/Sierra Blue/6 GB/512 GB,2,149900,299800,NEWYEAR15,254830.0,45869.4,2020-01-01,Paid,Transit,Net Banking,HDBC,9189630795,"24/53
Krishnamurthy Chowk, Tadipatri 976587"
1TWQ4ZHO2U1685122966,Onkar Dhillon,Nokia/5.1 Plus/Black/3 GB/32 GB,1,13199,13199,,13199,2375.82,2020-01-01,Paid,Returned,Digital Wallets,Freecharge,9163502384,"022, Swaminathan Nagar, Sultan Pur Majra 198523"
OW3KDV4YAO1685122966,Bhavin Gupta,POCO/X2/Pheonix Red/8 GB/256 GB,2,22999,45998,,45998,8279.64,2020-01-01,Pending,Transit,Debit Card,Mastercard,8188376816,"H.No. 647, Sami Nagar
Allahabad-762847"
ENJRZN7I2X1685122966,Yuvraj  Loke,Nokia/6.1/Gold/4 GB/32 GB,1,9500,9500,,9500,1710.0,2020-01-01,Paid,Transit,Digital Wallets,Cash on Delivery (COD),9162098717,"44/21, Kapur Chowk
Madhyamgram-943658"
84HKANGKUY1685122966,Hrishita Sama,SAMSUNG/Galaxy M31/Iceberg blue/6 GB/128 GB,1,17989,17989,REFERRAL10,16190.1,2914.22,2020-01-01,Paid,Delivered,Net Banking,ICICI,9115452459,"90/997, Mallick Path, Tirupati-780002"
VPIWCN9R4S1685122966,Kimaya Viswanathan,POCO/M4 Pro 5G/Yellow/6 GB/128 GB,1,19999,19999,NEWYEAR15,16999.15,3059.85,2020-01-01,Pending,Transit,Net Banking,PNB,8402020028,"37/04
Date, Panchkula 710779"
6ZSB82LOIV1685122966,Saira Bala,Motorola/G/Black/1 GB/16 GB,2,9999,19998,,19998,3599.64,2020-01-01,Paid,Transit,Net Banking,ICICI,9125347339,"54/849, Sidhu Nagar, Danapur-655375"
TANCZNDZXF1685122966,Tejas Jani,realme/GT Master Edition/Voyager Grey/8 GB/256 GB,1,29999,29999,REFERRAL10,26999.1,4859.84,2020-01-01,Pending,Delivered,Credit Card,Diners Club,9164676553,"H.No. 936, Som Path
Kozhikode 581480"
T5NN72NVEW1685122966,Ryan Baria,Apple/iPhone 13 Pro Max/Sierra Blue/6 GB/,1,139900,139900,NEWYEAR15,118915.0,21404.7,2020-01-01,Pending,Delivered,Net Banking,Axis,9100895931,"254
Bassi, Jhansi 663662"
ZOD5VXKZCB1685122966,Hazel Setty,GIONEE/S6/Silver/3 GB/32 GB,1,7999,7999,NEWYEAR15,6799.15,1223.85,2020-01-01,Paid,Returned,Debit Card,Visa,9138398732,"10/661
Mandal Circle, Ballia 447328"
CBL4Q941F01685122966,Nishith Bal,SAMSUNG/Galaxy M12/Black/4 GB/64 GB,2,12490,24980,REFERRAL10,22482.0,4046.76,2020-01-01,Paid,Delivered,Digital Wallets,Mobikwik,9175699891,"04
Chaudhuri Street
Anantapuram-591483"
O2F1B56KC41685122966,Inaaya  Sarkar,ASUS/ZenFone Max Pro M2/Titanium/3 GB/32 GB,2,15999,31998,BIRTHDAYGIFT,30078.12,5414.06,2020-01-01,Pending,Delivered,Credit Card,American Express,9128106750,"H.No. 643, Sundaram Road
Guntakal 864576"
RYKZT149AB1685122966,Shlok Rastogi,Infinix/Hot 10 Play/Purple/3 GB/32 GB,2,9999,19998,REFERRAL10,17998.2,3239.68,2020-01-01,Pending,Transit,Debit Card,RuPay,9165468343,"H.No. 723
Gopal Marg, Ongole 781541"
40HHW2O5IA1685122966,Kiaan Bhargava,SAMSUNG/Galaxy On8/Black/3 GB/16 GB,1,13490,13490,NEWYEAR15,11466.5,2063.97,2020-01-01,Pending,Returned,Digital Wallets,Ola Money,9186675939,"664
Sem Zila
Burhanpur-882945"
M1QFUKOJ3G1685122966,Lavanya Devan,Apple/iPhone XS Max/Gold/4 GB/512 GB,2,144900,289800,REFERRAL10,260820.0,46947.6,2020-01-01,Pending,Delivered,UPI,Google Pay,9190652398,"67/03
Dugal Circle
Bhatpara-331000"
EBUMV0HSCJ1685122966,Samarth Biswas,GIONEE/Max/Royal Blue/2 GB/32 GB,2,7990,15980,NEWYEAR15,13583.0,2444.94,2020-01-01,Paid,Returned,UPI,Amazon Pay,9147518389,"H.No. 03, Chahal Marg
Munger 260154"
RHI40A6GID1685122966,Fateh Srinivas,GIONEE/X-1/Gold/2 GB/16 GB,1,5149,5149,NEWYEAR15,4376.65,787.8,2020-01-01,Pending,Returned,Net Banking,ICICI,9394757120,"95/00
Dass, Srikakulam-029890"
KZDB4MOO7F1685122966,Sahil Kothari,SAMSUNG/Galaxy M12/White/6 GB/128 GB,2,14999,29998,NEWYEAR15,25498.3,4589.69,2020-01-01,Pending,Returned,Credit Card,Visa,9166373054,"20/87, Tripathi Chowk
Visakhapatnam 245500"
M34OD2KZD61685122966,Prisha Kuruvilla,Nokia/5.4/Polar Night/4 GB/64 GB,2,16799,33598,BIRTHDAYGIFT,31582.12,5684.78,2020-01-01,Pending,Returned,Credit Card,Visa,9120742223,"24/341, Chopra Zila
Nizamabad 221010"
H0R8HOLPM41685122966,Mamooty Bains,SAMSUNG/Galaxy M31/Space Black/6 GB/128 GB,2,17888,35776,NEWYEAR15,30409.6,5473.73,2020-01-01,Paid,Transit,Digital Wallets,Ola Money,9155334096,"95, Gopal Ganj
Hajipur 140358"
QVKF4F06DH1685122966,Manjari Seth,Xiaomi/REDMI 9 Power/Electric Green/4 GB/64 GB,1,13999,13999,,13999,2519.82,2020-01-01,Paid,Delivered,Debit Card,RuPay,9102062904,"H.No. 014, Chopra Circle, Sonipat-688457"
AL0VFT1VL91685122966,Eshani Sathe,Xiaomi/Redmi 7/Comet Blue/2 GB/32 GB,2,9490,18980,,18980,3416.4,2020-01-01,Paid,Delivered,UPI,Google Pay,9198001802,"83, Badal Circle
Malda-544968"
AVAIKRS5I51685122966,Amira Balan,SAMSUNG/Galaxy Note 5 Dual/Gold Platinum/4 GB/32 GB,1,39899,39899,REFERRAL10,35909.1,6463.64,2020-01-01,Paid,Returned,Digital Wallets,Amazon Pay,9125657321,"49
Krishnan Marg
Madanapalle 958602"
T8R07V2XX61685122966,Kanav Kakar,Apple/iPhone 6 Plus/Gold/1 GB/64 GB,2,71500,143000,,143000,25740.0,2020-01-01,Pending,Delivered,Digital Wallets,Google Pay,9193927584,"556
Chandra Circle
Katihar 606239"
606DGVUZTU1685122966,Umang Kohli,realme/U1/Ambitious Black/3 GB/32 GB,1,8285,8285,BIRTHDAYGIFT,7787.9,1401.82,2020-01-01,Paid,Returned,UPI,Google Pay,9100887414,"22/44
Amble Street, Vijayanagaram 166804"
S09XAZIDA71685122966,Aarna Dey,realme/U1/Brave Blue/4 GB/64 GB,1,15499,15499,REFERRAL10,13949.1,2510.84,2020-01-01,Pending,Transit,UPI,PhonePe,9181001551,"40
Sathe Ganj, Purnia-974941"
VGW2AC1DMW1685122966,Yuvraj  Sibal,Motorola/G7 Power/Ceramic Black/4 GB/64 GB,2,15999,31998,,31998,5759.64,2020-01-01,Paid,Returned,Digital Wallets,Ola Money,9160016591,"81
Gopal Road
Pimpri-Chinchwad-930848"
UJBCC5FGJZ1685122966,Saksham Karpe,ASUS/Zenfone Go 3rd Gen/Gold/2 GB/16 GB,1,8999,8999,REFERRAL10,8099.1,1457.84,2020-01-01,Paid,Delivered,Digital Wallets,Cash on Delivery (COD),9172660553,"77/72, Raja Nagar, Davanagere-109144"
