Order ID,Customer Name,Mobile Model,Quantity,Price per Unit,Total Price,Promotion Code,Order Amount,GST,Order Date,Payment Status,Shipping Status,Payment Method,Payment Provider,Mobile,Delivery Address
CUT378ZDLX1685122971,Ivana Mannan,GIONEE/F205/Black and Gold/2 GB/16 GB,1,8479,8479,NEWYEAR15,7207.15,1297.29,2020-01-02,Paid,Delivered,Digital Wallets,Paytm,9143521372,"H.No. 09
Dhaliwal Ganj
Bhiwandi-989704"
LH938KUQPO1685122971,Khushi Bajwa,Apple/iPhone XS Max/Gold/4 GB/512 GB,2,144900,289800,BIRTHDAYGIFT,272412.0,49034.16,2020-01-02,Pending,Returned,Digital Wallets,Mobikwik,9137639159,"H.No. 12, Bir Marg
Hapur-852690"
RS8YDCGK721685122971,Neysa Sekhon,Apple/iPhone 13 Pro/Graphite/6 GB/1 TB,1,169900,169900,NEWYEAR15,144415.0,25994.7,2020-01-02,Paid,Transit,Net Banking,HDBC,9129011843,"95/044
Sood Circle
Aligarh-912422"
24MPNPIFAS1685122971,Ahana  Bava,Apple/iPhone 12 Mini/Red/4GB/64 GB,1,59900,59900,REFERRAL10,53910.0,9703.8,2020-01-02,Paid,Returned,Debit Card,Mastercard,7260058633,"43
Toor
Guntakal 102551"
OHXPVV892O1685122971,Tarini Dugal,OPPO/Neo 5/Black/1 GB/16 GB,2,7856,15712,NEWYEAR15,13355.2,2403.94,2020-01-02,Pending,Returned,Credit Card,Diners Club,9142138729,"92, Bandi, Tirupati 128162"
PDS42AEM5Z1685122971,Siya Buch,Nokia/6/Matte Black/4 GB/64 GB,2,19499,38998,,38998,7019.64,2020-01-02,Paid,Delivered,Digital Wallets,PhonePe,9172771962,"H.No. 136, Issac Ganj, Pune 056457"
B4EJ1AI61Z1685122971,Diya Bhandari,OPPO/A16/CRYSTAL BLACK/4 GB/64 GB,1,15990,15990,REFERRAL10,14391.0,2590.38,2020-01-02,Paid,Returned,Digital Wallets,Paytm,8019797633,"26/932
Sem Chowk, Ulhasnagar-697274"
ADRPYH0OIA1685122971,Samarth Konda,HTC/826/White Birch/2 GB/16 GB,1,27990,27990,,27990,5038.2,2020-01-02,Pending,Returned,Digital Wallets,Cash on Delivery (COD),9192140692,"30/859, Dube Street
Ranchi 220915"
TVU6CH1GXQ1685122971,Rhea Tak,OPPO/F19/Prism Black/6 GB/128 GB,2,20990,41980,NEWYEAR15,35683.0,6422.94,2020-01-02,Paid,Delivered,UPI,BHIM UPI,9137118139,"74/421
Doctor Street
Jalandhar 237411"
IRCJQ6DPJQ1685122971,Anahi Sarma,OPPO/K3/Jade Black/6 GB/64 GB,1,24990,24990,NEWYEAR15,21241.5,3823.47,2020-01-02,Pending,Returned,UPI,Amazon Pay,9169680225,"68/44
Kade, Kavali-630291"
